Class,Filename,Width,Height,Size_in_KB
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-1.jpg,270,180,7.957
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-10.jpg,240,180,7.972
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-100.jpg,290,180,7.289
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-101.jpg,279,180,9.641
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-102.jpg,270,180,5.429
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-103.jpg,319,180,8.976
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-104.jpg,270,180,7.251
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-105.jpg,262,180,8.709
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-106.jpg,260,180,6.656
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-107.jpg,270,180,8.965
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-108.jpg,320,180,8.74
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-109.jpg,258,180,8.628
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-11.jpg,270,180,5.035
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-110.jpg,270,180,8.515
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-111.jpg,270,180,5.837
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-112.jpg,271,180,7.277
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-113.jpg,270,180,8.732
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-114.jpg,320,180,6.839
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-115.jpg,270,180,8.967
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-116.jpg,240,180,6.215
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-117.jpg,270,180,10.655
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-118.jpg,270,180,7.01
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-119.jpg,304,180,10.194
